x,y,theta,vl,vr,left_pwm,right_pwm
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.00,0.00,0.00,0.00,0.00,10,10
0.02,0.00,-0.02,0.07,0.03,10,10
0.05,-0.00,-0.02,0.15,0.13,10,10
0.07,-0.00,-0.02,0.18,0.16,10,10
0.10,-0.00,-0.04,0.23,0.18,10,10
0.14,-0.00,-0.04,0.26,0.23,10,10
0.16,-0.00,-0.04,0.25,0.23,10,10
0.19,-0.01,-0.07,0.28,0.23,10,10
0.22,-0.01,-0.07,0.30,0.26,10,10
0.25,-0.01,-0.09,0.31,0.25,10,10
0.28,-0.01,-0.09,0.29,0.25,10,10
0.31,-0.02,-0.09,0.31,0.28,10,10
0.34,-0.02,-0.11,0.32,0.26,10,10
0.36,-0.02,-0.11,0.29,0.25,10,10
0.40,-0.02,-0.11,0.31,0.28,10,10
0.43,-0.03,-0.13,0.32,0.27,10,10
0.45,-0.03,-0.15,0.33,0.26,10,10
0.48,-0.04,-0.13,0.30,0.28,10,10
0.51,-0.04,-0.15,0.31,0.27,10,10
0.54,-0.04,-0.18,0.32,0.26,10,10
0.57,-0.05,-0.15,0.29,0.28,10,10
0.60,-0.05,-0.18,0.31,0.27,10,10
0.62,-0.06,-0.20,0.32,0.26,10,10
0.65,-0.06,-0.18,0.29,0.28,10,10
0.68,-0.07,-0.20,0.31,0.27,10,10
0.71,-0.07,-0.22,0.32,0.26,10,10
0.74,-0.08,-0.20,0.29,0.28,10,10
0.77,-0.09,-0.22,0.31,0.27,10,10
0.79,-0.09,-0.24,0.32,0.26,10,10
0.83,-0.10,-0.24,0.33,0.28,10,10
0.85,-0.11,-0.24,0.30,0.27,10,10
0.88,-0.11,-0.27,0.31,0.26,10,10
0.91,-0.12,-0.27,0.32,0.28,10,10
0.93,-0.13,-0.27,0.29,0.27,10,10
0.96,-0.14,-0.29,0.31,0.26,10,10
0.99,-0.15,-0.29,0.32,0.28,10,10
1.02,-0.15,-0.29,0.29,0.27,10,10
1.04,-0.16,-0.31,0.31,0.26,10,10
1.08,-0.17,-0.31,0.32,0.28,10,10
1.10,-0.18,-0.31,0.29,0.27,10,10
1.13,-0.19,-0.33,0.31,0.26,10,10
1.16,-0.20,-0.33,0.32,0.28,10,10
1.19,-0.21,-0.35,0.33,0.27,10,10
1.21,-0.22,-0.35,0.30,0.26,10,10
1.24,-0.23,-0.35,0.31,0.28,10,10
1.27,-0.24,-0.38,0.32,0.27,10,10
1.29,-0.25,-0.38,0.29,0.26,10,10
1.32,-0.26,-0.38,0.31,0.28,10,10
1.35,-0.27,-0.40,0.32,0.27,10,10
1.37,-0.28,-0.42,0.33,0.26,10,10
1.40,-0.29,-0.40,0.30,0.28,15,15
1.43,-0.30,-0.42,0.31,0.27,15,15
1.45,-0.32,-0.44,0.32,0.26,15,15
1.48,-0.33,-0.42,0.29,0.28,15,15
1.51,-0.34,-0.44,0.31,0.27,15,15
1.53,-0.35,-0.46,0.32,0.26,15,15
1.56,-0.36,-0.44,0.29,0.28,15,15
1.58,-0.38,-0.46,0.31,0.27,15,15
1.61,-0.39,-0.49,0.32,0.26,15,15
1.63,-0.40,-0.46,0.29,0.28,15,15
1.66,-0.42,-0.49,0.31,0.27,15,15
1.69,-0.43,-0.51,0.32,0.26,15,15
1.72,-0.45,-0.51,0.33,0.28,15,15
1.74,-0.46,-0.51,0.30,0.27,15,15
1.76,-0.47,-0.53,0.31,0.26,15,15
1.79,-0.49,-0.53,0.32,0.28,15,15
1.81,-0.50,-0.53,0.29,0.27,15,15
1.84,-0.52,-0.55,0.31,0.26,15,15
1.86,-0.53,-0.55,0.32,0.28,15,15
1.88,-0.55,-0.55,0.29,0.27,15,15
1.91,-0.56,-0.57,0.31,0.26,15,15
1.94,-0.58,-0.57,0.32,0.28,15,15
1.96,-0.59,-0.57,0.29,0.27,15,15
1.98,-0.61,-0.60,0.31,0.26,15,15
2.01,-0.63,-0.60,0.32,0.28,15,15
2.03,-0.64,-0.62,0.33,0.27,15,15
2.05,-0.66,-0.62,0.30,0.26,15,15
2.08,-0.68,-0.62,0.31,0.28,15,15
2.10,-0.69,-0.64,0.32,0.27,15,15
2.12,-0.71,-0.64,0.29,0.26,15,15
2.15,-0.73,-0.64,0.31,0.28,15,15
2.17,-0.75,-0.66,0.32,0.27,15,15
2.21,-0.78,-0.69,0.40,0.33,15,15
2.25,-0.81,-0.69,0.42,0.37,15,15
2.28,-0.83,-0.71,0.43,0.36,15,15
2.32,-0.86,-0.71,0.44,0.39,15,15
2.36,-0.90,-0.73,0.48,0.41,15,15
2.39,-0.92,-0.75,0.47,0.39,15,15
2.42,-0.95,-0.75,0.47,0.41,15,15
2.45,-0.98,-0.77,0.47,0.39,15,15
2.49,-1.02,-0.80,0.50,0.41,15,15
2.52,-1.05,-0.80,0.49,0.43,15,15
2.55,-1.08,-0.82,0.48,0.40,15,15
2.58,-1.11,-0.82,0.47,0.42,15,15
2.61,-1.15,-0.86,0.50,0.40,15,15
2.64,-1.18,-0.86,0.49,0.42,15,15
2.67,-1.22,-0.86,0.48,0.43,15,15
2.70,-1.25,-0.88,0.48,0.40,15,15
2.73,-1.29,-0.91,0.51,0.42,15,15
2.76,-1.32,-0.91,0.49,0.43,15,15
2.78,-1.36,-0.93,0.48,0.41,15,15
2.81,-1.40,-0.95,0.51,0.42,15,15
2.84,-1.43,-0.97,0.50,0.40,15,15
2.86,-1.47,-0.97,0.49,0.42,15,15
2.88,-1.50,-0.99,0.48,0.40,15,15
2.91,-1.54,-0.99,0.47,0.42,15,15
2.94,-1.58,-1.02,0.50,0.43,15,15
2.96,-1.62,-1.04,0.49,0.40,15,15
2.98,-1.66,-1.04,0.48,0.42,15,15
3.01,-1.70,-1.04,0.48,0.43,15,15
3.03,-1.74,-1.08,0.51,0.41,15,15
3.05,-1.78,-1.08,0.49,0.42,15,15
3.07,-1.81,-1.11,0.48,0.40,15,15
3.09,-1.86,-1.13,0.51,0.42,15,15
3.11,-1.90,-1.13,0.50,0.43,15,15
3.13,-1.94,-1.15,0.49,0.41,15,15
3.15,-1.98,-1.15,0.48,0.42,15,15
3.17,-2.02,-1.19,0.51,0.40,15,15
3.18,-2.06,-1.19,0.49,0.42,15,15
3.20,-2.11,-1.19,0.48,0.43,15,15
3.22,-2.14,-1.22,0.48,0.41,15,15
3.23,-2.19,-1.24,0.51,0.42,15,15
3.25,-2.23,-1.26,0.49,0.40,15,15
3.26,-2.28,-1.26,0.48,0.42,15,15
3.28,-2.32,-1.26,0.48,0.43,15,15
3.29,-2.36,-1.30,0.51,0.40,15,15
3.30,-2.41,-1.30,0.49,0.42,15,15
3.31,-2.45,-1.30,0.48,0.43,15,15
3.32,-2.49,-1.33,0.48,0.41,15,15
3.34,-2.54,-1.35,0.51,0.42,15,15
3.35,-2.58,-1.37,0.49,0.40,15,15
3.36,-2.63,-1.37,0.48,0.42,20,20
3.36,-2.67,-1.37,0.48,0.43,20,20
3.37,-2.72,-1.42,0.51,0.41,20,20
3.38,-2.76,-1.42,0.49,0.42,20,20
3.39,-2.80,-1.44,0.48,0.40,20,20
3.39,-2.85,-1.44,0.48,0.42,20,20
3.40,-2.90,-1.46,0.51,0.43,20,20
